iter	Passed	Remaining
0	5	541
1	10	496
2	14	480
3	18	447
4	23	449
5	28	452
6	33	446
7	37	432
8	40	406
9	42	384
10	45	365
11	47	349
12	50	339
13	53	328
14	55	317
15	59	309
16	61	299
17	63	290
18	65	280
19	68	272
20	70	265
21	72	257
22	74	250
23	77	244
24	79	238
25	81	232
26	83	226
27	85	220
28	88	215
29	90	210
30	92	206
31	94	201
32	97	197
33	99	193
34	101	189
35	104	185
36	106	181
37	108	177
38	110	173
39	112	169
40	114	165
41	115	159
42	118	156
43	120	153
44	122	149
45	124	146
46	127	143
47	129	140
48	131	137
49	134	134
50	136	131
51	138	127
52	140	124
53	143	121
54	144	118
55	146	115
56	148	112
57	151	109
58	153	106
59	155	103
60	158	101
61	160	98
62	162	95
63	165	92
64	167	90
65	169	87
66	171	84
67	174	81
68	176	79
69	178	76
70	180	73
71	182	71
72	185	68
73	187	65
74	189	63
75	191	60
76	194	58
77	196	55
78	198	52
79	201	50
80	203	47
81	205	45
82	208	42
83	210	40
84	212	37
85	215	35
86	217	32
87	220	30
88	222	27
89	224	24
90	226	22
91	228	19
92	231	17
93	233	14
94	235	12
95	238	9
96	240	7
97	242	4
98	245	2
99	247	0
