iter	Passed	Remaining
0	143	143134
1	146	72875
2	148	49439
3	151	37784
4	155	30932
5	157	26148
6	160	22793
7	163	20307
8	166	18316
9	169	16822
10	171	15461
11	174	14328
12	176	13364
13	178	12558
14	181	11916
15	184	11319
16	186	10767
17	188	10259
18	190	9822
19	192	9427
20	195	9117
21	197	8779
22	199	8466
23	201	8189
24	203	7926
25	205	7686
26	207	7468
27	210	7299
28	212	7112
29	214	6928
30	216	6756
31	218	6596
32	220	6451
33	222	6315
34	224	6191
35	226	6073
36	228	5960
37	230	5846
38	232	5739
39	234	5637
40	237	5560
41	239	5461
42	241	5365
43	242	5271
44	244	5181
45	245	5096
46	247	5011
47	248	4932
48	250	4865
49	252	4796
50	253	4726
51	255	4656
52	256	4590
53	258	4525
54	259	4464
55	260	4399
56	262	4337
57	264	4290
58	265	4233
59	266	4175
60	267	4118
61	268	4064
62	269	4013
63	270	3961
64	271	3910
65	272	3861
66	273	3814
67	274	3766
68	275	3721
69	276	3680
70	278	3645
71	279	3603
72	280	3561
73	281	3521
74	282	3482
75	283	3444
76	284	3406
77	284	3367
78	285	3331
79	286	3295
80	287	3261
81	288	3227
82	288	3190
83	289	3157
84	290	3127
85	292	3107
86	293	3078
87	294	3048
88	294	3019
89	295	2990
90	296	2962
91	297	2934
92	298	2908
93	298	2881
94	299	2856
95	300	2831
96	301	2808
97	302	2783
98	303	2760
99	304	2736
100	305	2721
101	306	2702
102	307	2681
103	308	2659
104	309	2639
105	310	2618
106	311	2600
107	312	2584
108	313	2565
109	314	2545
110	315	2526
111	316	2507
112	317	2488
113	317	2470
114	318	2452
115	320	2445
116	321	2428
117	322	2411
118	323	2394
119	324	2376
120	324	2360
121	325	2343
122	326	2327
123	327	2311
124	328	2296
125	328	2281
126	329	2264
127	330	2249
128	331	2235
129	331	2221
130	332	2207
131	334	2196
132	335	2187
133	336	2174
134	337	2161
135	338	2147
136	338	2134
137	339	2121
138	340	2108
139	341	2096
140	342	2084
141	342	2070
142	343	2058
143	344	2046
144	345	2034
145	345	2023
146	347	2014
147	348	2007
148	349	1997
149	350	1986
150	351	1976
151	352	1965
152	353	1954
153	353	1944
154	354	1933
155	355	1923
156	356	1913
157	357	1903
158	357	1893
159	358	1883
160	359	1872
161	360	1863
162	361	1854
163	362	1848
164	363	1840
165	364	1832
166	365	1825
167	366	1817
168	367	1808
169	368	1799
170	369	1791
171	370	1782
172	371	1773
173	371	1765
174	372	1757
175	373	1749
176	374	1740
177	375	1732
178	376	1725
179	377	1721
180	378	1713
181	379	1705
182	380	1697
183	380	1689
184	381	1681
185	382	1674
186	383	1666
187	384	1659
188	384	1651
189	385	1645
190	386	1638
191	387	1631
192	388	1624
193	389	1617
194	390	1611
195	391	1606
196	392	1600
197	393	1594
198	394	1587
199	395	1582
200	396	1575
201	397	1570
202	398	1564
203	399	1558
204	400	1552
205	401	1545
206	401	1539
207	402	1533
208	403	1526
209	405	1525
210	407	1522
211	408	1516
212	408	1510
213	409	1504
214	410	1499
215	411	1494
216	412	1488
217	413	1482
218	414	1476
219	414	1470
220	415	1465
221	416	1459
222	417	1453
223	418	1449
224	420	1448
225	421	1443
226	422	1438
227	423	1433
228	424	1428
229	424	1422
230	425	1417
231	426	1411
232	427	1406
233	428	1401
234	429	1396
235	429	1391
236	430	1386
237	431	1381
238	432	1376
239	434	1374
240	434	1369
241	435	1364
242	436	1360
243	437	1355
244	438	1350
245	438	1345
246	439	1340
247	440	1335
248	441	1331
249	442	1326
250	442	1321
251	443	1317
252	444	1312
253	445	1308
254	446	1303
255	447	1301
256	448	1296
257	449	1292
258	450	1288
259	451	1283
260	451	1279
261	452	1275
262	453	1270
263	454	1266
264	455	1262
265	455	1257
266	456	1253
267	457	1249
268	458	1245
269	459	1241
270	460	1237
271	461	1234
272	462	1231
273	464	1230
274	465	1226
275	466	1222
276	467	1219
277	468	1216
278	469	1212
279	470	1208
280	471	1205
281	472	1201
282	472	1197
283	473	1193
284	474	1190
285	475	1186
286	476	1184
287	478	1182
288	479	1178
289	480	1175
290	480	1171
291	481	1168
292	482	1165
293	484	1162
294	485	1159
295	486	1156
296	487	1153
297	487	1149
298	488	1146
299	491	1145
300	492	1143
301	493	1139
302	494	1136
303	495	1133
304	496	1131
305	497	1128
306	498	1125
307	499	1122
308	500	1119
309	501	1116
310	502	1112
311	503	1109
312	505	1110
313	507	1107
314	508	1104
315	508	1101
316	509	1098
317	510	1095
318	511	1092
319	512	1089
320	513	1086
321	514	1083
322	515	1080
323	516	1077
324	517	1075
325	520	1075
326	521	1073
327	522	1070
328	523	1067
329	524	1064
330	525	1061
331	526	1058
332	527	1055
333	527	1052
334	528	1049
335	529	1046
336	530	1043
337	531	1040
338	532	1038
339	534	1037
340	535	1034
341	536	1031
342	536	1028
343	537	1025
344	539	1023
345	539	1020
346	540	1017
347	541	1014
348	542	1011
349	543	1008
350	543	1005
351	544	1002
352	545	1000
353	548	1000
354	549	997
355	550	994
356	550	992
357	551	989
358	552	987
359	553	984
360	554	982
361	555	979
362	556	976
363	557	974
364	558	971
365	559	968
366	560	966
367	562	965
368	563	963
369	564	960
370	565	957
371	565	955
372	566	952
373	567	950
374	568	948
375	569	945
376	570	942
377	571	940
378	572	937
379	573	934
380	573	932
381	574	930
382	576	929
383	577	926
384	578	924
385	579	922
386	580	919
387	581	917
388	582	914
389	583	912
390	584	909
391	584	907
392	585	904
393	586	902
394	587	899
395	588	898
396	590	896
397	591	894
398	592	892
399	593	890
400	594	887
401	595	885
402	596	883
403	597	880
404	597	878
405	598	875
406	599	873
407	600	871
408	601	868
409	602	866
410	603	864
411	604	863
412	605	861
413	606	858
414	607	856
415	608	854
416	609	852
417	610	849
418	611	847
419	612	845
420	612	842
421	613	840
422	614	838
423	615	836
424	616	833
425	617	831
426	618	829
427	619	827
428	620	825
429	621	823
430	621	821
431	622	819
432	623	816
433	624	814
434	625	812
435	626	810
436	627	807
437	627	805
438	628	803
439	629	801
440	630	799
441	631	796
442	632	794
443	633	793
444	634	791
445	635	789
446	636	787
447	637	785
448	638	783
449	639	781
450	639	778
451	640	776
452	641	774
453	642	772
454	643	770
455	644	768
456	645	766
457	646	764
458	647	762
459	648	760
460	649	758
461	649	756
462	650	754
463	651	752
464	652	750
465	653	749
466	654	747
467	655	745
468	656	743
469	657	741
470	657	738
471	658	736
472	659	734
473	660	733
474	661	731
475	662	729
476	663	727
477	664	725
478	665	723
479	666	721
480	667	719
481	668	717
482	668	716
483	669	714
484	670	712
485	671	710
486	672	708
487	672	706
488	673	704
489	674	702
490	676	700
491	676	698
492	677	697
493	678	695
494	679	693
495	680	691
496	681	689
497	682	687
498	683	685
499	684	684
500	684	682
501	685	680
502	686	678
503	687	676
504	688	674
505	690	673
506	691	672
507	691	670
508	692	668
509	693	666
510	694	664
511	695	663
512	696	661
513	697	659
514	698	657
515	699	655
516	700	654
517	700	652
518	701	650
519	702	648
520	703	646
521	705	645
522	706	644
523	707	642
524	708	641
525	709	639
526	710	637
527	711	636
528	712	634
529	713	632
530	714	630
531	714	628
532	715	627
533	716	625
534	717	624
535	719	622
536	720	620
537	720	619
538	721	617
539	722	615
540	723	614
541	724	612
542	725	610
543	726	608
544	727	607
545	727	605
546	728	603
547	729	601
548	730	600
549	731	598
550	732	597
551	733	595
552	734	593
553	735	592
554	736	590
555	737	588
556	738	587
557	739	585
558	740	583
559	741	582
560	741	580
561	742	578
562	743	577
563	744	575
564	745	573
565	746	572
566	747	570
567	748	569
568	749	567
569	749	565
570	750	564
571	751	562
572	752	561
573	753	559
574	754	557
575	755	556
576	756	554
577	757	552
578	757	551
579	758	549
580	759	547
581	760	546
582	762	545
583	763	543
584	763	541
585	764	540
586	765	538
587	766	537
588	767	535
589	768	533
590	769	532
591	770	530
592	770	529
593	771	527
594	772	525
595	773	524
596	774	522
597	775	521
598	776	519
599	777	518
600	778	516
601	779	515
602	780	513
603	781	512
604	782	510
605	782	509
606	783	507
607	784	505
608	785	504
609	786	502
610	787	501
611	788	499
612	789	498
613	790	496
614	791	495
615	792	493
616	793	492
617	793	490
618	794	489
619	795	487
620	796	486
